"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify Flyway seeds reference data and test tables start empty","93","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"Verify builder data can be persisted into isolated MySQL database","73","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"Categories split flaky,test and product","2","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","executiveViewNeedsFourSignals()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"Should appear under Test defects (broken)","7","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
"Should appear under Product defects","10","productDefect()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"Verify repository counts only orders created by current test","105","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Environment metadata answers which browser, base URL and build produced the report.","8","environmentTemplateCarriesRunContext()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
"Verify test data does not leak between tests","158","resetMakesTestsOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"The leadership view is the Overview page once categories, history, severity and environment exist.","37","forfailingtest()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
