"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Environment metadata answers which browser, base URL and build produced the report.","14","environmentTemplateCarriesRunContext()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
"Verify repository counts only orders created by current test","89","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Categories split flaky,test and product","2","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"Verify builder data can be persisted into isolated MySQL database","73","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"Should appear under Test defects (broken)","3","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
"Should appear under Product defects","12","productDefect()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"The leadership view is the Overview page once categories, history, severity and environment exist.","50","forfailingtest()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
"Verify Flyway seeds reference data and test tables start empty","77","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"The leadership view is the Overview page once categories, history, severity and environment exist.","4","executiveViewNeedsFourSignals()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"Verify test data does not leak between tests","143","resetMakesTestsOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
