"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Should appear under Test defects (broken)","3","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
"The leadership view is the Overview page once categories, history, severity and environment exist.","7","executiveViewNeedsFourSignals()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
"Verify builder data can be persisted into isolated MySQL database","70","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"Categories split flaky,test and product","4","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"Verify test data does not leak between tests","150","resetMakesTestsOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"Verify Flyway seeds reference data and test tables start empty","74","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"Verify repository counts only orders created by current test","92","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Should appear under Product defects","5","productDefect()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"The leadership view is the Overview page once categories, history, severity and environment exist.","38","forfailingtest()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
"Environment metadata answers which browser, base URL and build produced the report.","12","environmentTemplateCarriesRunContext()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
