"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The leadership view is the Overview page once categories, history, severity and environment exist.","3","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"The leadership view is the Overview page once categories, history, severity and environment exist.","37","forfailingtest()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
"","93","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Should appear under Product defects","5","productDefect()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"","150","resetMakesTestsOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"Categories split flaky,test and product","3","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"Should appear under Test defects (broken)","3","brokenDefect()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
"The Test will skip and add to skipped category","1","skippedTest()","","2026-07-10","skipped","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
"Environment metadata answers which browser, base URL and build produced the report.","6","environmentTemplateCarriesRunContext()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
"","72","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"","76","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
