"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Categories split flaky,test and product","2","categoriesPutGenericFlakyRules()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"Verify repository counts only orders created by current test","134","countsOnlyThisTestsOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Should appear under Product defects","13","productDefect()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"Verify test data does not leak between tests","166","resetMakesTestsOrderIndependent()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"Verify builder data can be persisted into isolated MySQL database","75","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"The leadership view is the Overview page once categories, history, severity and environment exist.","43","forfailingtest()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-11","skipped","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","executiveViewNeedsFourSignals()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"Verify Flyway seeds reference data and test tables start empty","103","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-11","passed","2026-07-11","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"Should appear under Test defects (broken)","3","brokenDefect()","","2026-07-11","broken","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
"Environment metadata answers which browser, base URL and build produced the report.","16","environmentTemplateCarriesRunContext()","","2026-07-11","failed","2026-07-11","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
