"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The Test will skip and add to skipped category","0","skippedTest()","","2026-07-10","skipped","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","skippedTest"
"","75","flywaySeedsReferenceDataButNoPerTestOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","flywaySeedsReferenceDataButNoPerTestOrders"
"The leadership view is the Overview page once categories, history, severity and environment exist.","1","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","executiveViewNeedsFourSignals"
"","136","resetMakesTestsOrderIndependent()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","resetMakesTestsOrderIndependent"
"Environment metadata answers which browser, base URL and build produced the report.","8","environmentTemplateCarriesRunContext()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","environmentTemplateCarriesRunContext"
"Should appear under Product defects","4","productDefect()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","productDefect"
"The leadership view is the Overview page once categories, history, severity and environment exist.","35","forfailingtest()","","2026-07-10","failed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","forfailingtest"
"Categories split flaky,test and product","1","categoriesPutGenericFlakyRules()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","categoriesPutGenericFlakyRules"
"","65","factoryPersistsBuilderDataAgainstIsolatedMySql()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","factoryPersistsBuilderDataAgainstIsolatedMySql"
"","90","countsOnlyThisTestsOrders()","","2026-07-10","passed","2026-07-10","","com.ust.sdet.week3.data.OrdersDataIT","com.ust.sdet.week3.data.OrdersDataIT","countsOnlyThisTestsOrders"
"Should appear under Test defects (broken)","4","brokenDefect()","","2026-07-10","broken","2026-07-10","","com.ust.sdet.week3.data.AllureReporting","com.ust.sdet.week3.data.AllureReporting","brokenDefect"
